Study_Hours;Attendance_Percent;Assignments_Completed;Previous_Score;Sleep_Hours;Pass
8.27;79.3;6.4;54.2;7.9;1
7.67;86.3;8.4;53.5;6.1;1
3.35;75.2;9.4;66.6;7.2;1
10.42;76.8;9.4;58.3;6.5;1
3.84;84.3;6.2;81.9;6.9;0
3.44;89.3;6.8;50.6;7.1;0
9.12;75.6;7.4;64;8.1;1
9.2;81.9;8.8;51.2;9.3;1
2.92;83.4;9.5;76;5.4;1
10;77;7.3;80.3;7.4;1
8.91;83.6;10;74.3;8.3;1
4.88;100;8.6;76.3;6.3;1
2.77;100;6.3;74.5;8.5;1
3.12;62;9.2;67.3;4;1
5.95;83.4;4.4;72.5;8.4;1
5.04;80.6;7.3;70.2;6.8;1
2.74;94.8;4.1;69;6.6;1
6.65;83.1;7.8;64.4;6.9;1
4.39;75.7;9.4;82.3;8.4;1
9.72;94.9;8.8;58.7;6.5;1
10.18;89;3.4;73.5;5.4;1
9.66;66.6;8.1;96.5;5;1
1.34;71.1;8.7;41.9;6.1;0
2.12;90.4;9;80.8;6.5;1
6.34;81.7;8.7;55.8;5.7;1
4.94;71.3;9;80.9;7.6;1
7.73;84.2;5.1;39.7;6.1;1
7.27;99.2;7.4;75;7.1;1
7.25;83;6.4;53.6;6.1;1
4.13;82.2;7.4;63.5;6.8;1
3.06;99.8;8;78;6.5;1
5.58;82;6;76.7;7.1;1
2.3;97.3;6.7;79.1;7;1
9.48;82.7;8.6;71;8;1
2.26;81.2;6.6;58.5;6.6;1
5.6;74.3;6.8;70.1;7.5;1
5;67.1;7.7;64.8;6.9;1
3.29;82.4;9.9;81.9;7.8;1
4.6;85.2;6.9;85;7.9;1
8.79;71.9;4.8;58.7;9;1
6.04;76.8;5.9;78.1;6.9;1
4.85;79.9;7.8;67.8;7.7;1
10.03;65.4;4.5;73.2;6.5;1
5.99;76.4;6;83.1;5.3;1
1.15;62.7;6;82.9;6.9;1
6.55;77.6;10;58.2;7.6;1
11.24;81.9;8.9;77.6;8.6;1
6.54;93.4;6.1;78.9;7.1;1
1.54;63.3;5.9;72.1;7.2;1
9.21;72.2;5.3;73.1;5.9;1
7.51;89;7.7;80.5;9.2;1
2.48;87.5;7.4;59.3;5.9;1
7.86;78.7;5;85;7;1
8.46;100;8.1;66.9;7.9;1
10.11;76.6;9.4;71.5;6.5;1
5.66;90.8;8.4;58.5;7.7;1
10.91;91;7.6;70.9;4.6;1
6.38;64.9;10;69.2;6.7;1
8.96;87;8.1;66.7;7.8;1
10.36;85.9;8;47.4;4;1
11.49;69.7;8.9;77.3;4.7;1
9.47;98.8;5;55.5;7.3;1
11.09;80;10;64.9;4.5;1
3.01;99.4;7.8;72.6;6.1;1
4.23;67.7;7.4;62.5;8.3;1
6.63;74.8;8.8;58.5;4.6;0
9.14;88;5.6;76.6;8.2;1
5.09;78.1;6;51;7.1;1
9.53;94.2;8.3;68.6;6.9;1
2.22;77.3;8.4;65.5;4.1;1
8.04;60.9;5.1;70.6;7.7;1
3.05;93.5;7.2;60.4;5.1;1
6.36;79.4;5.9;60.9;6.4;1
11.75;82.2;6.8;78.4;8.8;1
3.82;79.1;5.7;84.2;5.5;1
7.3;89.5;8.9;59;6.1;1
11.92;89.2;7.9;75.3;5;1
8.84;53;5.7;74.5;4.9;1
1.01;86;8.2;82.9;6.7;1
4.9;64;7.5;89.7;7.6;1
10.87;83.3;7.4;69.9;6.6;1
1.42;80;4.9;69.8;6.4;1
2.82;87.9;5.5;62.5;6.9;1
10.46;62.8;7;77.9;8.1;1
11.24;79.5;5.8;74.1;5.7;1
4.1;100;6.7;66.8;8.4;1
1.1;100;8.4;60.2;5.5;1
1.22;67.5;8.7;62.9;6.1;1
9.05;75.6;7.2;45.3;8.2;1
5.3;68.2;6.8;37.8;7.1;1
2.1;78.6;4.2;63.3;7.1;1
3.74;92.7;7.3;59.8;5.2;1
4.24;91.5;6.6;73.3;7.6;1
11.45;73.7;6.7;70.8;8.4;1
10.11;73.9;8.5;60.7;6.7;1
7.08;65.8;5.1;65.7;8.2;1
8.76;74.2;8.7;61.7;6.8;1
11.21;88.1;5.6;81.6;5.1;1
6.98;83.7;4.9;73.2;6.8;1
5.99;91.4;5.8;68.8;7.5;1
3.51;90.2;5.5;80.6;7.6;1
2.21;91.9;7.3;85.7;7.1;1
1.67;89.8;10;79.8;6.8;1
7.05;72.8;10;71.5;8.3;1
9.25;88.3;6.9;71.3;8;1
6.66;70.2;7.1;63.4;5.9;1
8.06;59.5;9.7;68.8;5.9;1
10.07;63.7;9.2;68.7;7.6;1
8.52;79.7;6;63.4;5.2;1
11.25;89.6;8.4;69.4;6.4;1
7.11;87.4;8;70.5;6.4;1
6.74;64.5;9.5;79.3;5.8;1
2.2;78.4;10;68.1;8.9;1
8.88;89.2;7.2;79.6;7.2;1
11.92;84.1;8.8;81;6;1
3.12;78.6;7.6;50;5;0
3.21;74.2;7.8;71.7;5.8;1
6.23;72.4;6;61.9;7.5;1
10.62;83;6.9;62.7;6.4;1
11.12;96.1;8.4;41.3;6.7;1
10.26;100;6;84.6;6.8;1
1.56;64.1;8.2;71.4;5.2;1
6.14;84.6;8;69.4;7.5;1
3.4;100;7.1;74;7.7;1
11.16;63.7;10;76.1;7.8;1
6.74;83.1;9.2;68;5.9;1
2.75;98.5;8.9;54.6;6.4;1
10.16;94.1;9.4;63.8;7.5;1
6.95;96.8;7.7;39.4;7.6;1
9.98;83.4;6.8;43.5;6.9;0
9.33;84.1;8.5;62.9;7.7;1
1.09;99.9;8.1;77.5;6.1;1
7.14;85.1;8.9;54.5;6.1;1
4.52;92.6;7.8;60.6;6.2;1
2.97;95.2;7.1;69.9;7.3;1
3.6;77.8;6.7;80.4;5;1
9.45;88.6;5.4;77.2;5.1;1
11.21;94.9;5.4;74.7;7;1
11.27;90;9.7;67.7;6.4;1
9.49;87.2;7.6;61.4;4;1
8.13;93;8;75.9;6.2;1
1.37;97;6.2;99.4;6.7;1
6.66;90.6;6.4;60.2;7.8;1
5.7;87.1;8.4;76.9;6.6;1
8.87;77.2;7.8;72.3;7.2;1
6.32;84;10;39.6;6.6;1
2.59;93.5;3.5;62.4;7.3;0
7.5;82.1;7.7;54.4;6.9;1
1.81;83.7;8.1;74.8;5.5;0
3;88.5;6.5;52.5;6;1
4.08;67.8;8.6;75.4;6.3;1
11.3;74.5;6.8;63.1;5;1
1.45;84.4;7.5;66;7.4;1
11.83;99.1;10;87;7;1
10.29;81.8;5.5;94.2;5.6;1
11.26;96.7;8.3;57.4;7.8;1
9.07;87.4;6.5;52;6.6;1
6.3;83.4;5.2;68.3;8;1
9.76;86.4;8.2;84.5;6.6;1
11.98;83.8;3.3;59.4;8.7;1
9.46;82.8;8.1;75.4;6;1
1.35;81.5;4.7;63.6;7.8;1
5.82;74.8;7.2;51;8.6;1
11.12;95.4;6;72.5;7;1
4.69;80.2;9;49;6;1
1.58;74.4;7.6;55.8;7;1
7.32;74.3;8.1;71.2;6.8;1
1.01;85.9;4.8;58;5.7;0
6.08;85.5;9.5;71.1;8.3;1
3.74;80.4;6.1;67.7;5.6;1
7.44;69.9;9.7;72.3;7.1;1
4.37;86.9;5.6;69.3;7.9;1
7.03;72.8;9.4;95.1;8;1
9.13;87.1;8.9;82.9;7.5;1
1.89;62.3;9.4;71.7;8.3;1
3.76;93;5.6;75.5;5.5;1
1.98;87.2;6.7;70.4;5.6;1
11.69;78.9;7.5;64.9;7.5;1
2.41;77.7;8.6;71.2;7.1;1
11.35;77.4;10;73.1;6.9;1
1.16;88.7;7.1;61.9;6.2;1
6.38;80.9;7.4;60.4;6;1
8.66;97.1;6.8;74.4;8.2;1
1.95;78.2;9.5;61.4;7.4;1
2.89;90.8;6.3;58.6;9.1;1
8.9;96.9;6.1;56.8;6.1;1
3.56;77.9;8.7;71.9;7.3;1
2.33;88.1;6.9;63.2;8;1
8.6;72.6;10;61.4;7.1;1
1.25;61.6;7.6;80.7;5.9;1
5.4;85.1;3.7;39;5.3;1
2.83;84.3;6.6;46.8;7.6;1
6.08;87.3;4.3;73.7;6.5;1
10.73;71.3;7.1;65.6;6.1;1
4.27;84.3;6.8;69.8;7.4;1
5.39;67.7;6.9;77.4;6.1;1
4.65;76.9;4.6;56.3;8.2;1
5.58;94.4;8.2;69.2;6.1;1
5.74;68.1;5.4;70.1;7;1
11.53;89.4;10;56;7.5;1
9.49;69.4;9.9;56.7;8;1
10.66;85.8;4.8;67.9;9;1
8.67;72.3;7.9;77.7;5.7;1
3.58;70.4;7;79.5;5.2;1
10.52;64.6;8.8;71.1;7.5;1
4.7;85.6;7.4;71.4;6.8;1
11.13;65.3;7.9;65.7;6.3;1
3.22;83.7;5.5;53.7;5.9;0
11.13;80;4.9;58.6;8.1;1
3.23;62.3;4.2;50.3;8.2;0
9.88;78.2;9;80.5;8.3;1
11.07;71.7;8.1;69.2;7.3;1
7.33;85.7;8.3;52.8;9.2;1
8.49;83.5;7.1;77.2;6.6;1
1.41;96.1;7.7;68;8.7;1
5.37;85.1;5.9;70.9;5.4;1
5.78;83;8.3;83.9;6.5;1
11.8;86.4;5.5;81;6.5;1
8.06;84.9;6.7;57.8;4.4;1
2.51;79.9;7;75.3;9.1;1
7.09;87.6;6.5;81.3;7.4;1
1.72;84.4;5.8;86.3;7.2;1
10.87;86.9;7.9;60.3;7.2;1
5.39;70;7.5;72.5;7.4;1
9.83;81.3;7.3;50.8;8.9;1
7.17;90.6;7.5;75.4;8.8;1
7.88;88;7.7;59.2;6.7;1
11.16;88.8;6.7;56;7.1;1
4.34;88.8;4;75.7;7;1
2.91;85.6;7.9;53.5;7.6;1
3.11;92;4;92.3;6.9;1
10.17;73.6;8.6;73.9;7.4;1
3.17;89.3;7.8;79.5;8;1
1.48;84.2;5.6;56.2;8.1;1
1.98;79.4;6;67.1;7.5;1
10.96;84.1;6.8;100;6.7;1
5.05;84.5;8.9;59.3;6.9;1
2.39;70;9.1;75.8;7.1;1
2.35;73.2;10;84.2;7.7;1
9.84;91.2;8.7;83.2;7.2;1
7.98;74.1;5.8;83;8.5;1
5.86;90.8;5.8;70.3;6.8;1
3.21;89.3;10;65.2;6;1
3.06;87.1;9.9;55.5;7.9;1
4.82;83.7;7.9;85.6;5.1;1
11.62;96.2;10;84.2;7.9;1
3.02;87.1;5.3;62.3;6.9;1
4.31;94.2;10;59.1;6.4;1
6.93;91.7;8.4;68;6.3;1
7.13;80.9;8.3;71.5;5.2;1
4.53;79.9;6.9;63.3;4.8;1
6.63;81.7;4.7;79.9;6.5;1
9.69;87.6;8.1;60.9;7.6;1
9.38;72.3;10;72.7;6;1
8.55;66.4;7;59.8;8.1;1
11.17;81.2;6.3;63.7;5.8;1
1.36;68.2;6.9;61.5;7.5;0
2.84;75.2;7.6;82.5;6.7;1
2.28;85;5.6;50;6.1;0
3.36;85.7;8.6;77.4;5.6;1
9.17;96.8;6.1;75.5;8.2;1
11.55;71;9.7;70.6;6.8;1
5.23;65.7;4.8;70.3;4.8;0
11.13;89.1;9.1;75.5;6.4;1
9.49;68.6;6.2;83.7;5.6;1
1.29;87.2;7.8;88.8;6.5;1
2.33;65;8;41.1;8.5;0
2.52;72.2;7.4;56.2;7.9;1
10.57;88.9;6.8;78;7.5;1
3.97;67.2;9.6;74.8;6.6;1
5.63;80.9;5.9;71.9;7.9;1
3.71;85.5;9.6;70.6;7.8;1
5.38;69.1;3.3;74.1;8.1;1
4.21;85.5;7.9;58.8;5.6;1
2.65;92.2;4.9;77.3;7.4;1
6.48;80.4;7.4;72.3;8.3;1
9;80;5;75.4;5.5;1
11.89;93.3;5.6;59.9;7.1;1
2.62;68.6;5.7;82;6.4;0
4.52;88.6;6.4;84.3;6.3;1
4.02;81.6;3.8;60.7;6.5;1
10.6;87.4;7.9;84.2;6.2;1
3.52;81.2;6.8;69.5;6.2;1
4.5;70.9;6.7;76.3;7;1
6.72;86.4;7.9;70.5;7.6;1
2.12;85.8;5.5;73.3;6.4;1
11.93;76.3;7.7;62.3;7;1
5.25;66.2;7.9;66.8;4.8;1
7.5;84.2;9.3;64.7;8.2;1
4.33;85;9;77.8;6.9;1
1.78;65.5;7;64.4;6.2;1
7.99;70.5;8.2;54;4;1
8.16;59;8;58.3;7.6;1
10.03;84.8;7.8;74.9;5.7;1
4.92;83.8;3.9;73.5;8.2;1
7.77;76.5;5.7;52.5;5.8;0
9.28;88.4;7.8;67.4;4.7;1
8.92;100;6.3;40.5;7.9;1
10.73;76.1;6.4;76.4;7.1;1
2.24;72.1;6.2;92;4.2;0
8.31;93.7;6.1;81.9;9;1
2.1;62.8;7.7;78.6;5.8;1
6.92;59.5;10;68.1;4;1
2.03;90.6;8.5;48.9;9.4;1
4.94;80.4;9.4;81.7;5.8;1
7.59;69;5.4;74.6;5.3;1
5.84;76.6;10;63.4;6.9;1
1.63;81.2;8.6;33.2;7.1;1
5.88;79.6;5.5;52.8;6.1;1
9.58;86;6.9;62.5;7.7;1
1.86;76.6;9.2;68.9;7.1;1
8.54;64;6.5;61.6;9.2;1
4.88;66.1;5.7;61.3;7.2;1
1.79;92.4;5.3;64.8;6.1;1
6.57;75.3;7.2;77.1;7.9;1
1.9;75.9;9.4;71.8;7.1;1
9.66;56;7.2;59.4;7;1
3.46;67.6;6.8;63;6.7;1
6.62;82.4;9.5;66.8;8.6;1
3.91;75.6;7.3;76.4;8;1
8.57;82.6;7.9;61.6;7;1
2.48;85.9;6.6;100;7;1
11.41;76.8;4.2;61;5.8;1
2.67;100;8.2;53.9;5.4;1
7.98;77.3;6.2;64.5;6;1
4.8;88.6;9.8;68;6.8;1
7.24;85.4;5.3;79.5;6.2;1
10.2;99.8;5.1;72.7;6.9;1
2.79;78.5;9.3;69.9;8.7;1
1.32;75.8;8.6;56;4;1
11.55;76.1;6.5;59;5.9;1
1.05;85.9;6.2;74.5;6.4;1
8.83;87.8;6.1;83.5;6.3;1
7.3;74.3;8.7;47;7.2;1
9.19;84.2;8.2;61.8;7.2;1
2.5;65.8;9.6;71.5;7.2;1
